Price,Close,High,Low,Open,Volume
Ticker,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS
Date,,,,,
2021-02-04,599.7235717773438,608.745541582387,594.7377463587673,600.6732528094536,7926593
2021-02-05,602.81005859375,611.8320287499384,591.7937813780824,601.6229572574094,10981738
2021-02-08,602.7151489257812,612.4018500257586,600.7207837857173,608.6506559546575,6479801
2021-02-09,597.3983154296875,612.3907762818704,594.9075824341675,605.349622969825,5794015
2021-02-10,600.751220703125,605.0142574908716,588.2974395307633,596.8714005704812,6902162
2021-02-11,616.60595703125,621.4916483351005,595.8655957833257,595.8655957833257,11433578
2021-02-12,600.7991943359375,626.9042368430318,596.2008281453199,626.9042368430318,15471776
2021-02-15,601.134521484375,610.522746141712,597.1109799253276,605.4454463396414,7310676
2021-02-16,604.6311645507812,607.8403851186208,596.8235775081179,604.487443671946,6137454
2021-02-17,595.1471557617188,605.8286934948424,593.7580682110798,602.2841434082454,4700733
2021-02-18,590.16552734375,600.8949506720406,588.2974484454576,595.8655389685281,5633766
2021-02-19,581.7831420898438,596.1528890135381,575.9394683958013,590.0218320751518,7301975
2021-02-22,570.2874145507812,585.1840423293668,565.5933317285895,582.4538134670031,5330343
2021-02-23,578.6698608398438,582.7891777640302,567.1261725686853,570.0001227675132,7564187
2021-02-24,576.1790771484375,583.7471102630462,570.8143354960114,581.5916478018738,3296243
2021-02-25,583.9386596679688,592.8958378513965,577.3764980036013,580.9210476093717,6261754
2021-02-26,569.6167602539062,595.2428096357226,565.2100611316489,579.5319209849625,15404415
2021-03-01,579.052978515625,585.136148674085,571.9638791831502,574.7899414226093,5274758
2021-03-02,588.3932495117188,590.452878156629,579.1008014665132,583.4117255469091,4776776
2021-03-03,598.1168212890625,599.12275048236,586.5252473031032,590.5966761328921,6626297
2021-03-04,592.9437866210938,609.9958779945758,590.1177241376657,595.8656240480976,11530735
2021-03-05,585.5193481445312,593.4227096067626,581.4000320462264,593.4227096067626,6127488
2021-03-08,588.9680786132812,595.7697946344886,585.6151373054154,585.8067456457104,4554461
2021-03-09,586.8605346679688,594.8118426783628,581.9748433221698,592.0336677746517,4035628
2021-03-10,599.6976318359375,601.5178237553365,589.4950848389595,592.0337643364367,5825924
2021-03-12,587.8185424804688,602.7152299011617,585.8068008942805,601.6135256935538,4264170
2021-03-15,580.0588989257812,588.2017571270515,571.4370490656128,588.2017571270515,4030762
2021-03-16,576.9932861328125,584.3218812102267,574.0714489835564,580.5378357681021,4189930
2021-03-17,560.1807250976562,578.6219033073696,557.5462710676973,578.6219033073696,7667561
2021-03-18,550.4092407226562,566.6949552663607,547.9663952352315,562.7193600336727,5537584
2021-03-19,554.0016479492188,558.1689097641855,538.4823091130821,547.0083825978771,6186643
2021-03-22,566.1681518554688,568.6588851420332,554.2891350949401,554.2891350949401,7033955
2021-03-23,563.150390625,569.7126105096219,558.504195576646,566.3596693697964,5341729
2021-03-24,560.7077026367188,571.916120716759,558.6959607762342,560.4203192953166,7299582
2021-03-25,551.5588989257812,563.2463071755272,547.487469797801,559.8454780686409,4710869
2021-03-26,562.52783203125,565.4975570132931,550.4572067985665,556.4446027064463,5761818
2021-03-30,572.5866088867188,573.8319754364392,562.5756720785457,569.9521549093395,4637718
2021-03-31,572.6824340820312,580.5379092344518,570.670692438296,573.0656508097253,5269919
2021-04-01,585.0883178710938,586.9563970557683,572.2513178811545,574.7899970898997,6033653
2021-04-05,583.22021484375,586.2378855933712,567.8445947442995,585.9983897710413,5353987
2021-04-06,594.3807373046875,595.7698247537315,578.1429090272711,583.1723212433327,7444994
